,car_type,firm,area,km,cost,year of prudaction,time of ad
0,רכב פרטי,מאזדה - 3,תל אביב,19000,"102,000 ₪",2017,24 ימים 
1,רכב פרטי,קיה - סיד,רמלה - לוד,175000,"43,210 ₪",2016,5 שעות 
2,רכב פרטי,מרצדס - E-CLASS,חיפה וחוף הכרמל,129000,"70,000 ₪",2009,5 שעות 
3,רכב פרטי,מאזדה - 5,חיפה וחוף הכרמל,144000,"57,000 ₪",2012,4 דקות 
4,רכב פרטי,מאזדה - 3,חיפה וחוף הכרמל,138853,"38,500 ₪",2010,5 שעות 
5,רכב פרטי,ב.מ.וו - סדרה 5,גדרה יבנה והסביבה,195000,"17,000 ₪",2000,7 שעות 
6,רכב פרטי,פיג’ו - 208,עכו - נהריה,65000,"49,000 ₪",2017,4 דקות 
7,רכב פרטי,מאזדה - 3,חיפה וחוף הכרמל,121661,"63,000 ₪",2016,4 דקות 
8,רכב פרטי,הונדה - ג’אז,נס ציונה - רחובות,21500,"78,000 ₪",2017,7 שעות 
9,רכב פרטי,מאזדה - 5,רמת גן - גבעתיים,200000,"29,500 ₪",2007,9 שעות 
10,רכב פרטי,מאזדה - 3,רמת השרון - הרצליה,230000,"8,500 ₪",2006,12 שעות 
11,רכב פרטי,מאזדה - 3,חיפה וחוף הכרמל,85000,"94,000 ₪",2018,12 שעות 
12,רכב פרטי,פורד - פיאסטה,אשדוד - אשקלון,159000,"27,000 ₪",2014,11 שעות 
13,רכב פרטי,יונדאי - i10,אשדוד - אשקלון,70000,"57,999 ₪",2019,4 דקות 
14,רכב פרטי,פיאט - 500X,מושבים בשרון,36000,"69,000 ₪",2017,4 דקות 
15,רכב פרטי,טויוטה - יאריס,חיפה וחוף הכרמל,40000,"78,000 ₪",2017,4 דקות 
16,רכב פרטי,טויוטה - אוריס,גדרה יבנה והסביבה,132500,"70,000 ₪",2015,1 ימים 
17,רכב פרטי,מאזדה - 5,פתח תקוה והסביבה,165000,"29,000 ₪",2008,1 ימים 
18,רכב פרטי,יונדאי - אלנטרה,"ראשל""צ והסביבה",59087,"94,800 ₪",2019,1 ימים 
19,רכב פרטי,סוזוקי - בלנו,מושבים בשרון,38000,"73,000 ₪",2019,4 דקות 
20,רכב פרטי,יונדאי - i35,חיפה וחוף הכרמל,116000,"65,000 ₪",2012,4 דקות 
21,רכב פרטי,פיג’ו - 2008,חיפה וחוף הכרמל,31000,"36,000 ₪",2016,1 ימים 
22,רכב פרטי,מאזדה - 3,נס ציונה - רחובות,210000,"14,500 ₪",2009,4 דקות 
23,רכב פרטי,טויוטה - יאריס,רמת השרון - הרצליה,31000,"82,000 ₪",2018,4 דקות 
24,רכב פרטי,סקודה - סופרב,ירושלים והסביבה,0,"65,000 ₪",2014,1 ימים 
25,רכב פרטי,שברולט - מאליבו,בקעת אונו,123000,"18,500 ₪",2007,2 ימים 
26,רכב פרטי,מאזדה - 5,רמלה - לוד,285000,"23,000 ₪",2008,1 ימים 
27,רכב פרטי,מאזדה - 3,חיפה וחוף הכרמל,145000,"56,000 ₪",2016,4 דקות 
28,רכב פרטי,קיה - פיקנטו,חולון - בת ים,1500,"75,000 ₪",2022,1 ימים 
29,רכב פרטי,סובארו - XV,"ראשל""צ והסביבה",109000,"95,000 ₪",2017,1 ימים 
30,רכב פרטי,סובארו - אאוטבק,חיפה וחוף הכרמל,80000,"30,000 ₪",2016,2 ימים 
31,רכב פרטי,שברולט - קרוז,מושבים בשרון,87000,"25,000 ₪",2014,4 דקות 
32,רכב פרטי,קיה - פיקנטו,פתח תקוה והסביבה,15600,"75,900 ₪",2020,2 ימים 
33,רכב פרטי,סוזוקי - SX4,מושבים בצפון,270274,"14,500 ₪",2008,2 ימים 
34,רכב פרטי,אופל - אסטרה,מושבים בשרון,200000,"14,500 ₪",2013,2 ימים 
35,רכב פרטי,טויוטה - פריוס,תל אביב,96000,"20,000 ₪",2011,2 ימים 
