,cost,km,year of prudaction,tracks,commercial,private
0,102000,19000,2017,0,0,1
1,43210,175000,2016,0,0,1
2,70000,129000,2009,0,0,1
3,57000,144000,2012,0,0,1
4,38500,138853,2010,0,0,1
5,17000,195000,2000,0,0,1
6,49000,65000,2017,0,0,1
7,63000,121661,2016,0,0,1
8,78000,21500,2017,0,0,1
9,29500,200000,2007,0,0,1
10,8500,230000,2006,0,0,1
11,94000,85000,2018,0,0,1
12,27000,159000,2014,0,0,1
13,57999,70000,2019,0,0,1
14,69000,36000,2017,0,0,1
15,78000,40000,2017,0,0,1
16,70000,132500,2015,0,0,1
17,29000,165000,2008,0,0,1
18,94800,59087,2019,0,0,1
19,73000,38000,2019,0,0,1
20,65000,116000,2012,0,0,1
21,36000,31000,2016,0,0,1
22,14500,210000,2009,0,0,1
23,82000,31000,2018,0,0,1
24,65000,0,2014,0,0,1
25,18500,123000,2007,0,0,1
26,23000,285000,2008,0,0,1
27,56000,145000,2016,0,0,1
28,75000,1500,2022,0,0,1
29,95000,109000,2017,0,0,1
30,30000,80000,2016,0,0,1
31,25000,87000,2014,0,0,1
32,75900,15600,2020,0,0,1
33,14500,270274,2008,0,0,1
34,14500,200000,2013,0,0,1
35,20000,96000,2011,0,0,1
36,67000,50000,2016,0,0,1
37,47000,170000,2014,0,0,1
38,54000,98000,2014,0,0,1
39,230000,61400,2019,0,0,1
40,61000,36000,2017,0,0,1
41,14000,169000,2004,0,0,1
42,5900,121000,2002,0,0,1
43,73000,140000,2016,0,0,1
44,10000,182000,2006,0,0,1
45,22000,124000,2013,0,0,1
46,35000,92000,2015,0,0,1
47,197000,111000,2015,0,0,1
48,55000,157000,2015,0,0,1
49,72000,9012,2020,0,0,1
50,65000,100000,2018,0,0,1
51,6500,46000,2001,0,0,1
52,39900,86000,2017,0,0,1
53,96000,46475,2020,0,0,1
54,60000,115000,2015,0,0,1
55,22000,116000,2014,0,0,1
56,89000,88000,2017,0,0,1
57,78000,47000,2017,0,0,1
58,86000,7646,2021,0,0,1
59,50000,146000,2012,0,0,1
60,86000,83000,2017,0,0,1
61,49000,88000,2016,0,0,1
62,27000,151100,2012,0,0,1
63,66900,83000,2018,0,0,1
64,65000,84000,2016,0,0,1
65,23000,136500,2014,0,0,1
66,25000,190000,2010,0,0,1
67,152000,26000,2020,0,0,1
68,17000,118000,2013,0,0,1
69,9500,214000,2009,0,0,1
70,127000,40000,2018,0,0,1
71,93000,103000,2017,0,0,1
72,105000,27275,2019,0,0,1
73,69000,76000,2018,0,0,1
74,94000,4000,2021,0,0,1
75,27000,110000,2009,0,0,1
76,36000,127000,2016,0,0,1
77,35000,135000,2012,0,0,1
78,43000,90500,2016,0,0,1
79,71000,48000,2017,0,0,1
80,18500,271000,2010,0,0,1
81,62500,110060,2016,0,0,1
82,93000,73000,2020,0,0,1
83,24000,179000,2011,0,0,1
84,8500,254000,2008,0,0,1
85,28000,200000,2007,0,0,1
86,110500,101000,2018,0,0,1
87,46000,117000,2014,0,0,1
88,88000,650,2022,0,0,1
89,9900,210000,2011,0,0,1
90,109500,54000,2020,0,0,1
91,66000,6200,2020,0,0,1
92,134000,50500,2020,0,0,1
94,35000,99180,1991,0,0,1
95,103000,24000,2018,0,0,1
97,65000,1,2014,0,0,1
98,87000,49000,2018,0,0,1
99,39900,126000,2017,0,0,1
100,8990,230,2005,0,0,1
101,59000,156000,2017,0,0,1
102,105000,89000,2017,0,0,1
103,24000,171000,2011,0,0,1
104,55000,340000,2018,0,0,1
107,225000,36710,2018,0,0,1
108,22000,188000,2012,0,0,1
109,29000,172000,2012,0,0,1
110,20000,47999,2017,0,0,1
111,30000,380000,1994,0,0,1
112,35000,163954,2012,0,0,1
114,110000,82000,2017,0,0,1
116,54000,113000,2016,0,0,1
117,60000,99421,2018,0,0,1
118,34000,70000,2012,0,0,1
119,90000,5950,2021,0,0,1
120,86000,97000,2015,0,0,1
121,550000,69000,2015,0,0,1
122,32000,76000,2016,0,0,1
123,38000,118000,2015,0,0,1
124,25000,105000,2012,0,0,1
125,7990,252214,2005,0,0,1
126,56000,144000,2015,0,0,1
127,37000,107000,2014,0,0,1
128,35000,214000,2011,0,0,1
129,16000,209000,2008,0,0,1
130,29000,136000,2012,0,0,1
131,110000,16300,2021,0,0,1
132,23000,220000,2010,0,0,1
133,20000,102000,2014,0,0,1
134,23000,170000,2014,0,0,1
135,99000,5550,2021,0,0,1
136,23000,170000,2010,0,0,1
137,10000,171000,2008,0,0,1
138,20000,220000,2009,0,0,1
